Date,Close,Volume,Open,High,Low,Range,prev_day_close,vix_open,vix_close,vix_range
2016-10-17,116.82,14143310,117.1,117.3,116.67200000000001,0.5368163711897029,117.86,17.01,16.21,5.896510228640197
2016-10-14,117.14,21305040,117.58,118.05,117.07,0.833616876488605,116.82,16.49,16.12,7.874015748031496
2016-10-13,117.0,22674980,116.635,117.32,115.94,1.1832290148332294,117.14,16.88,16.69,10.618949838662356
2016-10-12,117.42,14216810,117.575,117.82,117.06,0.647138964577649,117.0,15.53,15.91,6.8354430379746836
2016-10-11,117.52,27735200,119.1,119.14,117.0,1.8124841195900743,117.42,13.71,15.36,18.43501326259947
2016-10-10,119.22,19674040,119.06,119.48,119.03,0.37734266907048164,117.52,14.19,13.38,7.73960216998192
2016-10-07,118.47,19979450,118.86,119.01,117.89,0.9455466441536551,119.22,13.52,13.48,14.719271623672228
2016-10-06,118.73,11926200,118.63,118.98100000000001,118.15,0.7008784174148491,118.47,13.11,12.84,7.8078078078078015
2016-10-05,118.79,14461890,118.7,119.17,118.67,0.4204507231752439,118.73,13.56,12.99,7.4298711144806715
2016-10-04,118.37,21227720,118.86,119.16,117.92,1.0460604015522144,118.79,13.4,13.63,12.004365223717716
2016-10-03,118.55,19189520,118.53,118.7,118.09,0.5152244604924189,118.37,13.75,13.57,7.183908045977011
2016-09-30,118.72,25337630,118.145,119.07,118.03,0.877266975959504,118.55,14.91,13.29,19.257122250270466
2016-09-29,117.84,27138670,118.51,118.72,117.3338,1.1744780215357706,118.72,12.53,14.02,25.51203736974487
2016-09-28,118.7,14768690,118.62,118.77,118.09,0.5741788398209849,117.84,12.9,12.39,10.30608291359938
2016-09-27,118.5,18672990,117.31,118.5552,117.15,1.192336868257462,118.7,13.36,13.1,12.910205553552103
2016-09-26,117.34,16387330,117.66,117.8,117.17,0.5362386687662216,118.5,13.26,14.5,9.82430978845465
2016-09-23,118.33,22195130,118.92,119.0,118.16,0.7083825265643476,117.34,12.0,12.29,5.303957568339457
2016-09-22,119.09,22575270,118.85,119.22,118.7177,0.422211360368706,118.33,13.39,12.02,12.962226640159052
2016-09-21,118.15,31487710,117.48,118.32,116.81,1.2843958661166086,119.09,15.07,13.3,18.65176388403772
2016-09-20,117.0,18042080,117.19,117.48,116.8,0.5805019634625294,118.15,14.98,15.92,9.096816114359976
2016-09-19,116.78,16211280,117.57,117.95,116.55,1.1940298507462734,117.0,15.14,15.53,8.90052356020943
2016-09-16,117.29,27590030,117.22,117.412,116.71,0.5996873424966576,116.78,16.41,15.37,11.241507103150104
2016-09-15,117.64,38796350,115.89,117.815,115.86,1.673264148924787,117.29,17.97,16.3,13.78290446613428
2016-09-14,115.84,28147200,115.43,116.47,115.38,0.9402631011429833,117.64,17.63,18.14,10.440835266821349
2016-09-13,115.29,45838390,115.73,116.09,114.73,1.1784074170349186,115.84,15.98,17.85,18.045977011494248
2016-09-12,116.33,39558520,113.64,116.49,113.63,2.485659655831739,115.29,20.13,15.16,32.60561383612136
2016-09-09,114.28,50496340,116.23,116.51,114.26,1.9499935000216666,116.33,12.52,17.5,33.39986693280107
2016-09-08,117.23,20101830,117.57,117.6,116.92,0.5799078969810615,114.28,11.74,12.51,7.835051546391747
